Date,Retweets,Favorite,Engagement,Post
1/1/2020,317308,103566,420874,1082
1/2/2020,354736,125909,480645,1153
1/3/2020,362584,126701,489285,1226
1/4/2020,371153,131487,502640,618
1/5/2020,263060,173172,436232,559
1/6/2020,399892,148559,548451,721
1/7/2020,357627,167126,524753,695
1/8/2020,329824,131842,461666,760
1/9/2020,426863,162929,589792,990
1/10/2020,292215,122314,414529,676
1/11/2020,201512,100490,302002,561
1/12/2020,342997,134501,477498,533
1/13/2020,338214,131629,469843,671
1/14/2020,357622,135449,493071,730
1/15/2020,459477,159929,619406,696
1/16/2020,371374,146547,517921,704
1/17/2020,335106,117276,452382,710
1/18/2020,394184,124550,518734,525
1/19/2020,360841,123652,484493,537
1/20/2020,374371,119970,494341,705
1/21/2020,407002,132096,539098,754
1/22/2020,489583,147843,637426,733
1/23/2020,269482,95934,365416,702
1/24/2020,282874,104752,387626,759
1/25/2020,358913,118239,477152,559
1/26/2020,484671,151521,636192,500
1/27/2020,360210,144985,505195,710
1/28/2020,260463,99368,359831,702
1/29/2020,334994,124743,459737,770
1/30/2020,494186,151274,645460,784
1/31/2020,270189,101793,371982,761
2/1/2020,328473,119542,448015,580
2/2/2020,255174,88828,344002,558
2/3/2020,360635,137477,498112,752
2/4/2020,515799,169237,685036,769
2/5/2020,305242,96665,401907,730
2/6/2020,322135,121252,443387,817
2/7/2020,223578,73870,297448,781
2/8/2020,290193,99205,389398,676
2/9/2020,364225,132151,496376,636
2/10/2020,311158,117406,428564,776
2/11/2020,295419,104771,400190,708
2/12/2020,298068,131825,429893,828
2/13/2020,327432,107138,434570,841
2/14/2020,423360,151985,575345,777
2/15/2020,443433,132600,576033,555
2/16/2020,378975,132536,511511,576
2/17/2020,326160,117534,443694,687
2/18/2020,302584,132532,435116,789
2/19/2020,272660,112912,385572,818
2/20/2020,240217,101864,342081,928
2/21/2020,409541,104769,514310,835
2/22/2020,366365,127096,493461,567
2/23/2020,364334,122963,487297,586
2/24/2020,468608,160650,629258,869
2/25/2020,463674,161806,625480,855
2/26/2020,360247,136816,497063,827
2/27/2020,449657,149606,599263,864
2/28/2020,451829,115259,567088,917
2/29/2020,324575,105195,429770,612
3/1/2020,347274,139016,486290,581
3/2/2020,459918,124942,584860,733
3/3/2020,292669,126387,419056,787
3/4/2020,212274,90886,303160,865
3/5/2020,454316,135379,589695,928
3/6/2020,426295,131065,557360,825
3/7/2020,431927,163529,595456,620
3/8/2020,351192,153416,504608,595
3/9/2020,466939,153597,620536,860
3/10/2020,316998,118162,435160,861
3/11/2020,417247,127542,544789,899
3/12/2020,241649,84843,326492,962
3/13/2020,472993,134407,607400,901
3/14/2020,450242,142056,592298,600
3/15/2020,292600,102233,394833,597
3/16/2020,385645,128562,514207,905
3/17/2020,302032,124111,426143,886
3/18/2020,592068,169913,761981,908
3/19/2020,408897,145890,554787,851
3/20/2020,379766,119390,499156,936
3/21/2020,855503,256636,1112139,733
3/22/2020,469968,134428,604396,709
3/23/2020,467776,161384,629160,887
3/24/2020,581482,136951,718433,973
3/25/2020,285514,99048,384562,884
3/26/2020,588461,184714,773175,1041
3/27/2020,394721,119549,514270,979
3/28/2020,372017,140400,512417,769
3/29/2020,457844,136481,594325,681
3/30/2020,304490,120007,424497,922
3/31/2020,383137,162351,545488,939
4/1/2020,437330,177697,615027,896
4/2/2020,449899,157171,607070,949
4/3/2020,408170,166866,575036,882
4/4/2020,365935,139612,505547,724
4/5/2020,365135,144812,509947,626
4/6/2020,324632,133015,457647,768
4/7/2020,662766,218500,881266,848
4/8/2020,459672,160760,620432,925
4/9/2020,360760,134870,495630,840
4/10/2020,295142,115248,410390,815
4/11/2020,352288,126997,479285,662
4/12/2020,429440,165290,594730,648
4/13/2020,401969,157164,559133,863
4/14/2020,351222,146135,497357,750
4/15/2020,374509,126801,501310,812
4/16/2020,342376,144617,486993,768
4/17/2020,375586,128433,504019,826
4/18/2020,401825,136914,538739,633
4/19/2020,161656,70130,231786,578
4/20/2020,563539,162360,725899,808
4/21/2020,312674,99947,412621,748
4/22/2020,283158,96936,380094,802
4/23/2020,351755,146568,498323,788
4/24/2020,405499,136872,542371,821
4/25/2020,309980,134841,444821,570
4/26/2020,252121,103828,355949,557
4/27/2020,444283,167100,611383,793
4/28/2020,286372,119359,405731,746
4/29/2020,345276,122661,467937,864
4/30/2020,298767,119546,418313,809
5/1/2020,257161,91373,348534,599
5/2/2020,270191,118230,388421,616
5/3/2020,252970,140325,393295,602
5/4/2020,459935,135988,595923,686
5/5/2020,342211,147686,489897,694
5/6/2020,292849,139368,432217,737
5/7/2020,317620,121940,439560,786
5/8/2020,382955,184858,567813,810
5/9/2020,374031,180047,554078,585
5/10/2020,338816,180419,519235,536
5/11/2020,361573,143557,505130,741
5/12/2020,421782,129585,551367,778
5/13/2020,297348,114944,412292,762
5/14/2020,218145,83074,301219,800
5/15/2020,352742,148129,500871,762
5/16/2020,261129,152317,413446,567
5/17/2020,369978,159082,529060,641
5/18/2020,541529,173801,715330,768
5/19/2020,312048,121983,434031,879
5/20/2020,344815,125528,470343,812
5/21/2020,191717,72637,264354,835
5/22/2020,286740,99094,385834,864
5/23/2020,359182,191618,550800,576
5/24/2020,336376,175799,512175,513
5/25/2020,258273,159209,417482,794
5/26/2020,391370,144490,535860,819
5/27/2020,260447,99629,360076,744
5/28/2020,270806,130638,401444,751
5/29/2020,288562,122304,410866,756
5/30/2020,251962,132989,384951,598
5/31/2020,353687,142529,496216,529
6/1/2020,330940,117387,448327,798
6/2/2020,417007,127053,544060,744
6/3/2020,347684,135147,482831,634
6/4/2020,266371,111399,377770,785
6/5/2020,351199,131328,482527,754
6/6/2020,353220,193307,546527,542
6/7/2020,452298,202678,654976,503
6/8/2020,238420,98256,336676,726
6/9/2020,176455,76408,252863,693
6/10/2020,398160,153889,552049,668
6/11/2020,410442,124370,534812,731
6/12/2020,384242,123599,507841,787
6/13/2020,185811,131287,317098,564
6/14/2020,288991,139200,428191,484
6/15/2020,181032,74000,255032,699
6/16/2020,294826,100820,395646,772
6/17/2020,466564,155759,622323,728
6/18/2020,492878,156020,648898,683
6/19/2020,312994,124481,437475,694
6/20/2020,349034,205460,554494,510
6/21/2020,470368,198149,668517,485
6/22/2020,260824,120110,380934,695
6/23/2020,603660,176731,780391,851
6/24/2020,257306,122265,379571,770
6/25/2020,358266,139430,497696,829
6/26/2020,279624,121162,400786,689
6/27/2020,233272,109953,343225,527
6/28/2020,352967,225202,578169,467
6/29/2020,280257,105045,385302,658
6/30/2020,247068,122913,369981,700
7/1/2020,308036,138562,446598,736
7/2/2020,433202,169289,602491,634
7/3/2020,295869,125138,421007,661
7/4/2020,352786,136691,489477,509
7/5/2020,319156,122823,441979,383
7/6/2020,297788,101705,399493,537
7/7/2020,356137,131852,487989,662
7/8/2020,413831,159019,572850,719
7/9/2020,250527,94177,344704,743
7/10/2020,346362,143970,490332,632
7/11/2020,261128,106803,367931,525
7/12/2020,251942,121753,373695,456
7/13/2020,502479,175837,678316,702
7/14/2020,563284,160901,724185,755
7/15/2020,474820,164541,639361,727
7/16/2020,350453,137370,487823,735
7/17/2020,316580,118116,434696,710
7/18/2020,420160,136588,556748,560
7/19/2020,517497,130646,648143,455
7/20/2020,264867,85179,350046,699
7/21/2020,268886,101886,370772,720
7/22/2020,273704,114774,388478,753
7/23/2020,277839,107614,385453,718
7/24/2020,383786,150098,533884,670
7/25/2020,328038,104242,432280,508
7/26/2020,278573,101054,379627,513
7/27/2020,320679,124670,445349,459
7/28/2020,452018,141600,593618,592
7/29/2020,360168,127631,487799,741
7/30/2020,350537,148592,499129,690
7/31/2020,369476,118600,488076,677
8/1/2020,251433,84029,335462,519
8/2/2020,368548,142706,511254,440
8/3/2020,392367,109089,501456,677
8/4/2020,196037,85178,281215,659
8/5/2020,222206,94260,316466,799
8/6/2020,372673,128687,501360,674
8/7/2020,285397,106149,391546,722
8/8/2020,314217,111705,425922,511
8/9/2020,226594,85193,311787,432
8/10/2020,260252,105784,366036,688
8/11/2020,126891,59203,186094,650
8/12/2020,232631,110155,342786,510
8/13/2020,429529,133565,563094,747
8/14/2020,383950,102916,486866,694
8/15/2020,347553,119231,466784,436
8/16/2020,528033,146402,674435,467
8/17/2020,259384,100267,359651,693
8/18/2020,188960,78837,267797,690
8/19/2020,235528,78899,314427,841
8/20/2020,342136,124896,467032,693
8/21/2020,302254,105780,408034,728
8/22/2020,194157,72068,266225,508
8/23/2020,263390,100354,363744,488
8/24/2020,270731,85368,356099,656
8/25/2020,381338,110129,491467,701
8/26/2020,167842,72595,240437,691
8/27/2020,242135,101143,343278,688
8/28/2020,236545,88341,324886,729
8/29/2020,204866,80471,285337,478
8/30/2020,122517,55285,177802,444
8/31/2020,203179,89550,292729,647
9/1/2020,255618,90725,346343,764
9/2/2020,205275,104673,309948,685
9/3/2020,339313,120662,459975,670
9/4/2020,364983,111682,476665,561
9/5/2020,363027,108492,471519,478
9/6/2020,207556,78435,285991,479
9/7/2020,274498,102096,376594,429
9/8/2020,237029,93768,330797,822
9/9/2020,340632,125111,465743,761
9/10/2020,171861,80867,252728,719
9/11/2020,174802,84614,259416,737
9/12/2020,197273,80650,277923,459
9/13/2020,276556,102299,378855,440
9/14/2020,360217,152174,512391,692
9/15/2020,199451,122398,321849,728
9/16/2020,453752,182375,636127,844
9/17/2020,346497,118219,464716,808
9/18/2020,206135,105364,311499,745
9/19/2020,201434,71778,273212,525
9/20/2020,408197,136005,544202,529
9/21/2020,404947,162680,567627,719
9/22/2020,249226,115827,365053,709
9/23/2020,343982,119266,463248,791
9/24/2020,204161,99645,303806,707
9/25/2020,192985,94018,287003,711
9/26/2020,164266,74722,238988,506
9/27/2020,246103,103865,349968,499
9/28/2020,383817,147382,531199,743
9/29/2020,307205,100134,407339,727
9/30/2020,266455,104511,370966,746
10/1/2020,203705,71565,275270,797
10/2/2020,400907,112386,513293,724
10/3/2020,375119,117717,492836,476
10/4/2020,94528,53735,148263,475
10/5/2020,260406,96643,357049,765
10/6/2020,277594,127050,404644,809
10/7/2020,194137,83624,277761,702
10/8/2020,182520,96762,279282,687
10/9/2020,238705,111389,350094,690
10/10/2020,178730,96227,274957,546
10/11/2020,209857,94180,304037,447
10/12/2020,139478,89832,229310,652
10/13/2020,429830,103808,533638,628
10/14/2020,915737,204687,1120424,882
10/15/2020,1495682,292909,1788591,806
10/16/2020,1961874,369675,2331549,1197
10/17/2020,1785772,360149,2145921,973
10/18/2020,822770,206431,1029201,646
10/19/2020,637935,155808,793743,751
10/20/2020,348459,111222,459681,672
10/21/2020,724681,150538,875219,902
10/22/2020,235101,101451,336552,760
10/23/2020,316681,121893,438574,515
10/24/2020,184999,78065,263064,427
10/25/2020,202903,86270,289173,431
10/26/2020,338372,114673,453045,678
10/27/2020,209907,103348,313255,695
10/28/2020,205431,99416,304847,655
10/29/2020,211102,102385,313487,727
10/30/2020,191291,86378,277669,726
10/31/2020,273734,130952,404686,548
11/1/2020,184456,80666,265122,454
11/2/2020,228798,105774,334572,628
11/3/2020,180792,113833,294625,650
11/4/2020,202886,89617,292503,695
11/5/2020,162894,109217,272111,783
11/6/2020,137981,73632,211613,728
11/7/2020,113160,72257,185417,484
11/8/2020,277058,107092,384150,539
11/9/2020,160098,102182,262280,682
11/10/2020,120445,101068,221513,755
11/11/2020,210843,103515,314358,766
11/12/2020,122518,87113,209631,708
11/13/2020,154148,96376,250524,692
11/14/2020,191988,116912,308900,426
11/15/2020,141952,92400,234352,415
11/16/2020,133185,98195,231380,680
11/17/2020,412217,130585,542802,806
11/18/2020,351914,131976,483890,745
11/19/2020,195479,133937,329416,724
11/20/2020,146307,85761,232068,672
11/21/2020,191930,109971,301901,507
11/22/2020,135532,78732,214264,431
11/23/2020,145145,91692,236837,670
11/24/2020,139553,77652,217205,620
11/25/2020,144684,73157,217841,716
11/26/2020,124025,107756,231781,637
11/27/2020,177969,100284,278253,672
11/28/2020,114879,101215,216094,503
11/29/2020,190117,142381,332498,505
11/30/2020,97417,67194,164611,626
12/1/2020,192974,104805,297779,711
12/2/2020,251617,138562,390179,752
12/3/2020,210192,100615,310807,742
12/4/2020,101512,72969,174481,675
12/5/2020,183384,104972,288356,574
12/6/2020,99787,66190,165977,491
12/7/2020,147807,97357,245164,550
12/8/2020,102164,77289,179453,669
12/9/2020,124571,85061,209632,700
12/10/2020,165407,104284,269691,549
12/11/2020,154585,81068,235653,645
12/12/2020,180984,92441,273425,624
12/13/2020,176439,122347,298786,528
12/14/2020,249888,110126,360014,679
12/15/2020,200042,116154,316196,744
12/16/2020,191457,108555,300012,666
12/17/2020,167824,86190,254014,695
12/18/2020,195009,114220,309229,707
12/19/2020,195307,97206,292513,480
12/20/2020,137144,63786,200930,487
12/21/2020,212619,95078,307697,674
12/22/2020,241241,87280,328521,684
12/23/2020,203414,88972,292386,731
12/24/2020,173099,93538,266637,730
12/25/2020,168321,94612,262933,693
12/26/2020,207616,69518,277134,450
12/27/2020,297718,95222,392940,429
12/28/2020,220972,103615,324587,659
12/29/2020,150740,91904,242644,646
12/30/2020,97189,63762,160951,643
12/31/2020,150951,68132,219083,420
